県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
千葉県,D112210000315,千葉県立船橋東高等学校,普通科,320,451,1.41,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.58,-0.17
千葉県,D112210001190,千葉県立船橋啓明高等学校,普通科,320,333,1.04,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.3,-0.26
千葉県,D112210000324,千葉県立船橋芝山高等学校,普通科,320,446,1.39,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.37,0.02
千葉県,D112210000333,千葉県立船橋二和高等学校,普通科,280,296,1.06,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.24,-0.18
千葉県,D112210000342,千葉県立船橋古和釜高等学校,普通科,200,193,0.97,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.07,-0.1
千葉県,D112210000351,千葉県立船橋法典高等学校,普通科,200,201,1.01,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.93,0.08
千葉県,D112210000360,千葉県立船橋豊富高等学校,普通科,80,81,1.01,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.35,0.66
千葉県,D112210000379,千葉県立船橋北高等学校,普通科,160,94,0.59,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.83,-0.24
千葉県,D112210000280,千葉県立市川工業高等学校,機械科,80,79,0.99,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.05,-0.06
千葉県,D112210000280,千葉県立市川工業高等学校,電気科,80,82,1.03,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.23,-0.2
千葉県,D112210000280,千葉県立市川工業高等学校,建築科,40,30,0.75,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.2,-0.45
千葉県,D112210000280,千葉県立市川工業高等学校,インテリア科,40,47,1.18,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.33,-0.15
