県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
長野県,D120232100014,長野県軽井沢高等学校,普通,32,38,1.19,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.32,0.87
長野県,D120221700048,長野県佐久平総合技術高等学校,農業（食料マネジメント・生物サービス・食農クリエイト）,48,53,1.1,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.23,-0.13
長野県,D120221700048,長野県佐久平総合技術高等学校,工業（機械システム）,16,9,0.56,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.56,0
長野県,D120221700048,長野県佐久平総合技術高等学校,工業（電気情報）,20,13,0.65,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.94,-0.29
長野県,D120221700048,長野県佐久平総合技術高等学校,創造実践,46,22,0.48,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.3,0.18
長野県,D120221700020,長野県岩村田高等学校,普通,200,203,1.02,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.98,0.04
長野県,D120221700011,長野県野沢北高等学校,普通,160,158,0.99,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.93,0.06
長野県,D120221700011,長野県野沢北高等学校,理数,4,8,2,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,4.25,-2.25
長野県,D120221700039,長野県野沢南高等学校,普通,160,155,0.97,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.11,-0.14
長野県,D120230300016,長野県小海高等学校,普通,55,16,0.29,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.2,0.09
長野県,D120236200014,長野県富士見高等学校,普通,23,14,0.61,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.88,-0.27
長野県,D120236200014,長野県富士見高等学校,農業（園芸）,16,11,0.69,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.44,-0.75
長野県,D120221400014,長野県茅野高等学校,普通,65,15,0.23,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.34,-0.11
長野県,D120220600032,長野県諏訪実業高等学校,商業（商業・会計情報）,47,16,0.34,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.41,-0.07
長野県,D120220600032,長野県諏訪実業高等学校,家庭（服飾）,17,5,0.29,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.09,0.2
長野県,D120220600014,長野県諏訪清陵高等学校,普通,161,154,0.96,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.09,-0.13
長野県,D120220600023,長野県諏訪二葉高等学校,普通,200,202,1.01,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.02,-0.01
長野県,D120236100015,長野県下諏訪向陽高等学校,普通,100,55,0.55,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.34,0.21
長野県,D120220400016,長野県岡谷東高等学校,普通,48,57,1.19,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.1,0.09
長野県,D120220400034,長野県岡谷南高等学校,普通,160,153,0.96,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.12,-0.16
