prefectureCode,prefectureName,schoolName,area,department,fiscalYear,quota,finalApplicants,finalRate,sourceUrl,docTitle,fetchedAt
chiba,千葉県,鎌ヶ谷西,,普通科,令和8年度（2026年度）,160,172,1.08,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,松戸,,普通科,令和8年度（2026年度）,200,223,1.12,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,松戸,,芸術科,令和8年度（2026年度）,40,44,1.1,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,小金,,総合学科,令和8年度（2026年度）,320,598,1.87,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,松戸国際,,普通科,令和8年度（2026年度）,200,219,1.1,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,松戸国際,,国際教養科,令和8年度（2026年度）,120,113,0.94,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,松戸六実,,普通科,令和8年度（2026年度）,320,444,1.39,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,松戸向陽,,普通科,令和8年度（2026年度）,160,182,1.14,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,松戸向陽,,福祉教養科,令和8年度（2026年度）,40,40,1,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,松戸馬橋,,普通科,令和8年度（2026年度）,320,361,1.13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,東葛飾,,普通科,令和8年度（2026年度）,240,437,1.82,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,柏,,普通科,令和8年度（2026年度）,280,337,1.2,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,柏,,理数科,令和8年度（2026年度）,40,53,1.33,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,柏南,,普通科,令和8年度（2026年度）,360,531,1.48,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,柏陵,,普通科,令和8年度（2026年度）,320,362,1.13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,柏の葉,,普通科,令和8年度（2026年度）,280,370,1.32,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,柏の葉,,情報理数科,令和8年度（2026年度）,40,49,1.23,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,柏中央,,普通科,令和8年度（2026年度）,320,351,1.1,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,沼南,,普通科,令和8年度（2026年度）,80,33,0.41,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,沼南高柳,,普通科,令和8年度（2026年度）,160,141,0.88,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
